index,setID,duration,length,emission,price,modal,duration_norm,length_norm,emission_norm,price_norm
0,7.0,19.833333333333332,17.899,10.552,34.42703333333334,car,0.0,0.0,0.38772543226490613,0.9351048343558787
1,7.0,107.0,24.592,26.52983407097173,4.0,public transport,0.8856900931414056,0.6896445131375578,0.9748191227334864,0.0
2,7.0,82.55,19.185,0.0,23.6375,bicycle,0.6372565622353937,0.1325090159711487,0.0,0.6035133620649914
3,7.0,77.03333333333333,24.439,27.215135046365862,24.89923333333333,car-public transport,0.5812023708721422,0.6738794435857806,1.0,0.6422898318818961
4,7.0,57.95,19.753,10.552,35.3784,car-bicycle,0.38729889923793404,0.19103554868624414,0.38772543226490613,0.9643428990564036
5,7.0,68.33333333333333,24.099,23.74140107968853,28.71823333333333,public transport-car,0.4928027095681626,0.6388459556929418,0.8723602157123526,0.7596580065337715
6,7.0,100.11666666666666,22.761,13.189401079688531,18.02916666666667,public transport-bicycle,0.8157493649449619,0.5009788768675939,0.4846347834474465,0.4311541459946587
7,7.0,53.68333333333333,20.305,10.552,36.53863333333334,bicycle-car,0.34394580863674845,0.24791344667697054,0.38772543226490613,1.0
8,7.0,118.25,27.604,19.423782630442663,17.3125,bicycle-public transport,1.0,1.0,0.7137125205276684,0.40912904557556706
9,27.0,7.033333333333333,4.202,2.891,13.420933333333332,car,0.0,0.0,0.5190623137192123,0.7921565769669517
10,27.0,30.0,4.272,4.6086309023744,4.0,public transport,0.881074168797954,0.06427915518824634,0.8274529987078233,0.0
11,27.0,19.25,4.465,0.0,7.8125,bicycle,0.46867007672634264,0.24150596877869587,0.0,0.32057300936423533
12,27.0,17.2,4.613,5.569658832068266,13.768999999999998,car-public transport,0.39002557544757027,0.37741046831955954,1.0,0.8214236664863513
13,27.0,13.033333333333333,4.471,2.891,15.227333333333332,car-bicycle,0.2301790281329923,0.2470156106519743,0.5190623137192123,0.9440472219808677
14,27.0,23.666666666666668,4.486,5.3927357356288,14.183766666666669,public transport-car,0.6381074168797953,0.2607897153351696,0.9682344822593438,0.8562992070810549
15,27.0,27.866666666666667,4.426,2.5017357356288,9.216666666666669,public transport-bicycle,0.7992327365728901,0.2056932966023876,0.44917216854013164,0.4386419756546697
16,27.0,15.216666666666667,4.464,2.891,15.892766666666668,bicycle-car,0.3139386189258312,0.24058769513315,0.5190623137192123,1.0
17,27.0,33.1,5.291,3.2892592746581326,9.525,bicycle-public transport,1.0,1.0,0.5905674609223204,0.46456809881636735
18,35.0,19.133333333333333,18.814,10.792,35.44153333333334,car,0.0,0.0,0.34949913283369133,1.0
19,35.0,96.0,28.623,30.87847432552961,4.0,public transport,0.7943506717189115,1.0,1.0,0.0
20,35.0,81.45,19.666,0.0,23.3625,bicycle,0.6439889769204271,0.08685900703435623,0.0,0.6158255640628213
21,35.0,80.31666666666666,24.727,27.298709137928533,24.532966666666667,car-public transport,0.6322769548742678,0.6028137424813946,0.8840692338014443,0.6530523320533561
22,35.0,50.53333333333333,19.615,10.792,34.087133333333334,car-bicycle,0.3244919049259386,0.08165970027525725,0.34949913283369133,0.9569232204536249
