,profiles,execution_time (ns),memory_usage
316,safe,1032800,0
317,safe,969300,0
318,safe,0,0
319,safe,998400,0
320,safe,1033000,0
321,safe,999300,0
322,safe,1001100,0
323,safe,967900,0
324,safe,1000400,4096
325,safe,998300,0
326,safe,999400,0
327,safe,999600,0
328,safe,998900,0
329,safe,1001000,0
330,safe,999800,0
331,safe,0,0
332,safe,1000500,0
333,safe,998900,4096
334,safe,1001900,0
335,safe,999700,0
336,safe,1006900,0
337,safe,993700,0
338,safe,999300,0
339,safe,1002000,0
340,safe,998500,0
341,safe,999200,0
342,safe,998500,0
343,safe,1001400,0
344,safe,0,0
345,safe,0,0
346,safe,1000100,0
347,safe,999800,0
348,safe,1001400,0
349,safe,998700,0
350,safe,999800,0
351,safe,1001700,0
352,safe,1000700,0
353,safe,998200,0
354,safe,1000700,0
355,safe,1000600,0
356,safe,999500,4096
357,safe,1000600,0
358,safe,0,0
359,safe,0,0
360,safe,998800,0
361,safe,1001000,0
362,safe,1002100,0
363,safe,999000,0
364,safe,1000100,0
365,safe,998400,0
366,safe,999800,0
367,safe,1000400,0
368,safe,999800,0
369,safe,1001100,0
370,safe,998900,0
371,safe,1004200,0
372,safe,999400,0
373,safe,1000500,0
374,safe,1000200,0
375,safe,999100,0
376,safe,1000000,0
377,safe,1000000,0
378,safe,1000400,0
379,safe,999700,0
380,safe,1000400,0
381,safe,999800,0
382,safe,0,0
383,safe,0,0
384,safe,1000000,0
385,safe,1000100,0
386,safe,999900,0
387,safe,1997400,0
388,safe,1000300,4096
389,safe,0,0
390,safe,0,0
391,safe,1031700,0
392,safe,1000500,0
393,safe,999600,0
394,safe,970200,0
395,safe,999100,0
396,safe,998400,0
397,safe,998200,4096
398,safe,1001000,0
399,safe,999600,0
400,safe,1032300,0
401,safe,999200,0
402,safe,0,0
403,safe,0,0
404,safe,1000100,0
405,safe,1001000,0
406,safe,970400,0
407,safe,997400,0
408,tourist,1034600,0
409,tourist,966700,0
410,tourist,999800,0
411,tourist,999300,0
412,tourist,998700,0
413,tourist,1032000,0
414,tourist,970000,0
415,tourist,0,0
416,tourist,1030700,0
417,tourist,1000100,0
418,tourist,999600,0
419,tourist,1001700,4096
420,tourist,998500,0
421,tourist,1000700,0
422,tourist,970100,0
423,tourist,999100,0
424,tourist,1030000,0
425,tourist,999900,0
426,tourist,1001800,0
427,tourist,0,0
428,tourist,1004200,0
429,tourist,998800,0
430,tourist,996400,0
431,tourist,998900,0
432,tourist,999800,0
433,tourist,969600,0
434,tourist,1032600,0
435,tourist,998600,0
436,tourist,1001300,0
437,tourist,0,0
438,tourist,0,0
439,tourist,1000600,0
440,tourist,1000600,0
441,tourist,968300,0
442,tourist,1001000,0
443,tourist,999500,0
444,tourist,999700,0
445,tourist,1000500,0
446,tourist,999700,0
447,tourist,999800,0
448,tourist,1001000,0
449,tourist,999100,4096
450,tourist,0,4096
451,tourist,1000100,0
452,tourist,0,0
453,tourist,998600,0
454,tourist,999100,0
455,tourist,1000500,0
456,tourist,999600,0
457,tourist,1000200,0
458,tourist,1000200,0
459,tourist,1000700,0
460,tourist,999200,0
461,tourist,1000600,0
462,tourist,1001400,0
463,tourist,998900,0
464,tourist,998900,0
465,tourist,1000600,0
466,tourist,999200,0
467,tourist,999500,0
468,tourist,1009100,0
469,tourist,0,0
470,tourist,0,0
471,tourist,1030900,0
472,tourist,999200,0
473,tourist,1000300,0
474,tourist,1000100,0
475,tourist,999400,0
476,tourist,972800,0
477,tourist,1000700,0
478,tourist,1000200,0
479,tourist,999700,0
480,tourist,1000100,0
481,tourist,998500,4096
482,tourist,1000500,0
483,tourist,998500,0
484,tourist,0,0
485,tourist,0,0
486,tourist,1030100,0
487,tourist,997700,0
488,tourist,1006800,0
489,tourist,992600,0
490,tourist,1000200,0
491,tourist,1000000,0
492,tourist,1004900,0
493,tourist,995000,4096
494,tourist,972500,0
495,tourist,0,0
496,tourist,0,0
497,tourist,0,0
498,tourist,998400,0
499,tourist,1030700,0
500,tourist,970100,0
501,tourist,1000900,0
502,tourist,1029700,0
503,tourist,1001400,0
504,tourist,998000,0
505,tourist,1002000,0
506,tourist,967400,0
507,tourist,0,0
508,tourist,1032000,0
509,tourist,968900,0
510,tourist,999600,0
511,tourist,1031400,0
512,tourist,998900,0
513,tourist,971400,4096
514,tourist,999100,0
515,tourist,999600,0
516,tourist,1000100,0
517,tourist,998800,0
518,tourist,998900,0
519,tourist,1000500,0
520,tourist,0,0
521,tourist,0,0
522,tourist,1001700,0
523,tourist,999100,0
524,tourist,999100,0
525,tourist,1000100,0
526,tourist,1001300,0
527,tourist,998700,0
528,tourist,1001500,0
529,tourist,999500,0
530,tourist,0,0
531,tourist,1001400,0
532,tourist,1000300,0
533,tourist,1000300,0
534,tourist,997400,0
535,tourist,1001600,0
536,tourist,999800,0
537,tourist,998300,0
538,tourist,999700,0
539,tourist,1000100,0
540,tourist,999900,0
541,tourist,999900,0
542,tourist,0,0
543,tourist,0,0
