,profiles,execution_time (s),memory_usage
0,worker,0.0008246898651123047,102400
1,worker,0.0010030269622802734,0
2,worker,0.0005364418029785156,0
3,worker,0.0,0
4,worker,0.0,0
5,worker,0.0,0
6,worker,0.0,0
7,worker,0.0,0
8,worker,0.0,0
9,worker,0.0053539276123046875,0
10,worker,0.0,0
11,worker,0.0,0
12,worker,0.0009996891021728516,0
13,worker,0.0,0
14,worker,0.00099945068359375,0
15,worker,0.0010001659393310547,0
16,worker,0.0,0
17,worker,0.0,0
18,worker,0.0,0
19,worker,0.0009999275207519531,0
20,worker,0.0,0
21,worker,0.0,0
22,worker,0.0010001659393310547,4096
23,worker,0.0,0
24,worker,0.0,0
25,worker,0.0,0
26,worker,0.0009996891021728516,0
27,worker,0.0,12288
28,worker,0.0,0
29,worker,0.0,0
30,worker,0.0009999275207519531,0
31,worker,0.0,0
32,worker,0.0,4096
33,worker,0.0,0
34,worker,0.0010001659393310547,0
35,worker,0.0,0
36,worker,0.0,0
37,worker,0.0,0
38,worker,0.0009999275207519531,0
39,worker,0.0,0
40,worker,0.0,0
41,worker,0.0,0
42,worker,0.0010001659393310547,0
43,worker,0.0,0
44,worker,0.0,0
45,worker,0.0,0
46,worker,0.0009999275207519531,0
47,worker,0.0,0
48,worker,0.0,0
49,worker,0.0009999275207519531,4096
50,worker,0.0,0
51,worker,0.0,0
52,worker,0.0,0
53,worker,0.0,4096
54,worker,0.0009999275207519531,0
55,worker,0.0,0
56,worker,0.0,0
57,worker,0.0,16384
58,worker,0.0010001659393310547,0
59,worker,0.0,8192
60,worker,0.0,0
61,worker,0.0,0
62,worker,0.0009999275207519531,0
63,worker,0.0,0
64,worker,0.0,0
65,worker,0.0,0
66,worker,0.0,0
67,worker,0.0,0
68,worker,0.0,0
69,worker,0.0009999275207519531,0
70,worker,0.0,0
71,worker,0.0,0
72,worker,0.0,0
73,worker,0.0,0
74,worker,0.0009999275207519531,0
75,worker,0.0,0
76,worker,0.0,0
77,worker,0.0,0
78,worker,0.0009996891021728516,0
79,worker,0.0,0
80,worker,0.00039196014404296875,0
81,worker,0.0,0
82,worker,0.0,0
83,worker,0.0,0
84,worker,0.0,0
85,worker,0.0,0
86,worker,0.0,12288
87,worker,0.0,0
88,worker,0.0,0
89,worker,0.0,0
90,worker,0.0,0
91,worker,0.0,0
92,worker,0.0,0
93,worker,0.0,0
94,worker,0.0,0
95,worker,0.0,0
96,worker,0.0,0
97,worker,0.0,0
98,worker,0.0,0
99,worker,0.0,0
100,worker,0.0,0
101,worker,0.0,4096
102,worker,0.0,0
103,worker,0.0,0
104,worker,0.0,0
105,worker,0.0,12288
106,worker,0.0,0
107,worker,0.0,0
108,worker,0.0,0
109,worker,0.0,0
110,worker,0.0,0
111,worker,0.0,4096
112,worker,0.0,0
113,worker,0.0,4096
114,worker,0.0,0
115,worker,0.0,0
116,worker,0.0,32768
117,worker,0.0,4096
118,worker,0.0,0
119,worker,0.0,0
120,worker,0.0,0
121,worker,0.0,0
122,worker,0.0,4096
123,worker,0.0,0
124,worker,0.0,0
125,worker,0.0,0
126,worker,0.0,0
127,worker,0.0,4096
128,worker,0.0,0
129,worker,0.0,0
130,worker,0.0,0
131,worker,0.0,0
132,worker,0.0,4096
133,worker,0.0,0
134,worker,0.012914896011352539,0
135,worker,0.0,0
